username;tweet;remove_user;value
bilianmutasikin;@ATMBERSAMA Tips gaya hidup Cashless Society #PintarBersama di situasi pandemi #1 : 1. Hitung pengeluaran rutin pada bulan-bulan sebelumnya 2. Pisahkan pengeluaran rutin yang tidak bisa dilakukan via online 3. Persiapkan lebih dari 1 e-wallet/aplikasi pem; Tips gaya hidup Cashless Society #PintarBersama di situasi pandemi #1 : 1. Hitung pengeluaran rutin pada bulan-bulan sebelumnya 2. Pisahkan pengeluaran rutin yang tidak bisa dilakukan via online 3. Persiapkan lebih dari 1 e-wallet/aplikasi pembayaran pada gadget;positif
amasfsh;@andrevarahmawan Betul sekali bapak makanya kita harus jauhkan e-wallet masa pandemi ini agar tidak kegerus saldonya; Betul sekali bapak, makanya kita harus jauhkan e-wallet masa pandemi ini agar tidak kegerus saldonya;negatif
mega_haryanti27;@JeniusConnect Dan juga suka bgt fitur e-wallet center bener2 memudahkan utk topup e-wallet. Apalagi aku pengguna setia OJOL dimana dimasa pandemi ini lebih memilih byr mengunakan nontunai. Dgn fitur ewalet center ini jadi memudahkan aku untuk topup diman; Dan juga suka bgt fitur e-wallet center, bener2 memudahkan utk topup e-wallet. Apalagi aku pengguna setia OJOL dimana dimasa pandemi ini lebih memilih byr mengunakan nontunai. Dgn fitur ewalet center ini jadi memudahkan aku untuk topup dimanapun dan kapanpun. 🙏 #ceritajenius  https://t.co/XXFq742WLr;positif
jenlboe;Semenjak pandemi gue males keluar rumah untung aja ada @linkaja yang siap membantu memenuhi kebutuhan rumah #LengkapnyaRamadan Lebih Hemat hingga 350ribu  https://t.co/uIqWcviIEo;Semenjak pandemi, gue males keluar rumah untung aja ada linkaja yang siap membantu memenuhi kebutuhan rumah #LengkapnyaRamadan Lebih Hemat hingga 350ribu  https://t.co/uIqWcviIEo;positif
kanii69389228;Pandemi gini paling cocok ya transaksi non tunai sih. Lebih aman. Apalagi kalo bayarnya pake LinkAja bisa Lebih hemat dah. @linkaja #LengkapnyaRamadan Lebih Hemat Hingga 350ribu  https://t.co/lqHdusVt5V;Pandemi gini paling cocok ya transaksi non tunai sih. Lebih aman. Apalagi kalo bayarnya pake LinkAja bisa Lebih hemat dah.  #LengkapnyaRamadan Lebih Hemat Hingga 350ribu  https://t.co/lqHdusVt5V;positif
andinapradipta;@bertanyarl Aku boleh summon @linkaja ? Karena pake bank BUMN top upnya gratis. Sesuai kebutuhanku: Top up @bibitid bisa Bayar @gojekindonesia bisa Bayar @tiket bisa Bayar @CommuterLine bisa (udah setahun nggak roker sih karena pandemi tahun lalu sih bisa; Aku boleh summon linkaja ? Karena pake bank BUMN, top upnya gratis. Sesuai kebutuhanku: Top up bibitid bisa Bayar gojekindonesia bisa Bayar tiket bisa Bayar CommuterLine bisa (udah setahun nggak roker sih karena pandemi, tahun lalu sih bisa) Merchant makanan banyak;positif
badrusz08998797;@linkaja Aplikasi yang wajib di instal karena sangat memudahkan terutama di masa pandemi sekarang semua serba online dari pesan tiket KRL Bayar Listrik Bayar Olshop Dll. Cocok juga untuk nabung ga perlu repot-repot antri di Bank. #lengkapnyauntuksemua; linkaja Aplikasi yang wajib di instal karena sangat memudahkan terutama di masa pandemi sekarang semua serba online dari pesan tiket KRL, Bayar Listrik, Bayar Olshop, Dll. Cocok juga untuk nabung ga perlu repot-repot antri di Bank. #lengkapnyauntuksemua;positif
zulmasiregar;@linkaja Aplikasi yang sangat cocok untuk pelajar seperti saya ada banyak promo dan sangat cocok buat investasi apalagi pada kondisi pandemi gini  #lengkapnyauntuksemua;linkaja  Aplikasi yang sangat cocok untuk pelajar seperti saya, ada banyak promo dan sangat cocok buat investasi, apalagi pada kondisi pandemi gini  #lengkapnyauntuksemua;positif
story_acak1;@linkaja berkat link aja aku bisa bayar asuransi BPJS lewat online apalahi sekarang masa pandemi apa apa serba online bayar tagigan listrik pun online terimakasih @linkaja buat semua nya...hihi  #lengkapuntuksemua; berkat link aja aku bisa bayar asuransi BPJS lewat online, apalagi sekarang masa pandemi apa apa serba online, bayar tagigan listrik pun online, terimakasih  buat semua nya...hihi  #lengkapuntuksemua;positif
story_acak1;@linkaja berkat link aja aku bisa bayar asuransi BPJS lewat online apalahi sekarang masa pandemi apa apa serba online bayar tagigan listrik pun online terimakasih @linkaja buat semua nya...hihi; berkat link aja aku bisa bayar asuransi BPJS lewat online, apalahi sekarang masa pandemi apa apa serba online, bayar tagigan listrik pun online, terimakasih  buat semua nya...hihi;positif
rofiurrutab;@linkaja Menginspirasi buat kita yang menjaga protokol kesehatan. Semoga pandemi berakhir @linkaja #lengkapnyauntuksemua; linkaja Menginspirasi buat kita yang menjaga protokol kesehatan. Semoga pandemi berakhir  #lengkapnyauntuksemua;positif
rakhmatzul;@linkaja Di masa pandemi seperi saat ini link aja sangat membantu masyarakatmenginspirasi buat kita yang menjaga protokol kesehatan #lengkapnyauntuksemua; Di masa pandemi seperi saat ini link aja sangat membantu masyarakat,menginspirasi buat kita yang menjaga protokol kesehatan #lengkapnyauntuksemua;positif
gina95512065;@linkaja Aplikasi yang bermanfaat selain itu ada banyak promo jadi berguna untuk investasi @linkaja  mempermudah transaksi saat pandemi  membantu kita menjaga protokol kesehatan transaksi tanpa bersentuhan langsung  #LengkapnyaUntukSemua; Aplikasi yang bermanfaat selain itu ada banyak promo jadi berguna untuk investasi  , mempermudah transaksi saat pandemi , membantu kita menjaga protokol kesehatan transaksi tanpa bersentuhan langsung  #LengkapnyaUntukSemua;positif
teguh89237212;@linkaja Menginspirasi buat kita yang menjaga protokol kesehatan apa lagi di era pandemi saat ini. #lengkapnyaUntukSemua @LinkAja; linkaja Menginspirasi buat kita yang menjaga protokol kesehatan, apa lagi di era pandemi saat ini. #lengkapnyaUntukSemua @LinkAja;positif
fenylivia_;@linkaja Bagus untuk pekerja seperti saya apalagi dimasa pandemi saat ini harus menjaga protokol kesehatan. Dengan pakai LinkAja mempermudah saya yang sering delivery makanan. #LengkapnyaUntukSemua; Bagus untuk pekerja seperti saya apalagi dimasa pandemi saat ini harus menjaga protokol kesehatan. Dengan pakai LinkAja mempermudah saya yang sering delivery makanan. #LengkapnyaUntukSemua;positif
bahridesu;@linkaja Pakai link ajabanyak keuntungannya loh! Banyak promo jadi berguna buat sekarang di zaman yang apa-apa harus digital dan masa pandemi ini! #LengkapnyaUntukSemua; Pakai link aja banyak keuntungannya loh! Banyak promo jadi berguna buat sekarang di zaman yang apa-apa harus digital dan masa pandemi ini! #LengkapnyaUntukSemua;positif
kang_ghaust;@linkaja Menggunakan @linkaja semakin mudah disaat pandemi ini menginspirasi buat kita yang menjaga protokol kesehatan selain itu ada banyak promo jadi berguna buat sekarang. #lengkapnyauntuksemua; Menggunakan linkaja semakin mudah disaat pandemi ini, menginspirasi buat kita yang menjaga protokol kesehatan, selain itu ada banyak promo jadi berguna buat sekarang. #lengkapnyauntuksemua;positif
fadiniman;@linkaja Aplikasi ini sangat menginspirasi buat kita yang menjaga protokol kesehatan selama pandemi covid-19 ini semoga wabah ini segera hilang dan semuanya bisa normal kembali.  #LengkapnyaUntukSemua; Aplikasi linkaja ini sangat menginspirasi buat kita yang menjaga protokol kesehatan selama pandemi covid-19 ini semoga wabah ini segera hilang dan semuanya bisa normal kembali.  #LengkapnyaUntukSemua;positif
jajaksumping;@linkaja Cocok sekali untuk pekerja #lengkapnyauntuksemua  @linkaja sangat mengispirasi dan menjadi inovasi di tengah pandemi ini.;linkaja Cocok sekali untuk pekerja #lengkapnyauntuksemua   sangat mengispirasi dan menjadi inovasi di tengah pandemi ini.;positif
furqonfauzi10;@linkaja menginspirasi buat kita yang menjaga protokol kesehatan dan sangat memudahkan saya dalam bertransaksi khusus nya pada masa² pandemi ini #LengkapnyaUntukSemua; menginspirasi buat kita yang menjaga protokol kesehatan, dan sangat memudahkan saya dalam bertransaksi khusus nya pada masa² pandemi ini #LengkapnyaUntukSemua;positif
rickysi95745641;@linkaja @linkaja emang solutif banget di masa pandemi begini. Menginspirasi buat kita yang menjaga protokol kesehatan. #lengkapnyauntuksemua; linkaja emang solutif banget di masa pandemi begini. Menginspirasi buat kita yang menjaga protokol kesehatan. #lengkapnyauntuksemua;positif
hastinfina;Hainamaku fina. Pandemi masih belum berlalu. Kalau mau transaksi pakai aplikasi linkaja mudah gak ribet cukup pakai hp dari rumah cocok sekali buat ibu di rumah. #lengkapnyauntuksemua   @linkaja;Hai,namaku fina. Pandemi masih belum berlalu. Kalau mau transaksi pakai aplikasi linkaja, mudah gak ribet cukup pakai hp dari rumah ,cocok sekali buat ibu di rumah. #lengkapnyauntuksemua   ;positif
azizah_mariah;@linkaja Selama pandemi jadi mls kemana2 males juga buat pake uang cash  untung aja ada @linkaja ada banyak promo jadi berguna buat sekarang #LengkapnyaUntukSemua; Selama pandemi jadi mls kemana2 males juga buat pake uang cash , untung aja ada  ada linkaja banyak promo jadi berguna buat sekarang #LengkapnyaUntukSemua;positif
ramadhanwahyu93;@linkaja Di masa pandemi ini pake link aja cocok sekali buat ibu dirumah. Tanpa harus keluar rumah yaa dan ada banyak promo jadi berguna buat sekarang @linkaja #lengkapnyauntuksemua; Di masa pandemi ini pake link aja cocok sekali buat ibu dirumah. Tanpa harus keluar rumah yaa dan ada banyak promo jadi berguna buat sekarang  #lengkapnyauntuksemua;positif
tsani79984055;@linkaja Terimakasih  @linkaja   pembelian pulsa pembayaran listrik jadi mudah. Selain memudahkan dalam hal pembayran dan pembelian juga bnyak promo dan cashback nya lohh cocok sekali buat ibu dirumah.Transaksi tanpa keluar rumah di masa pandemi yaa linka; Terimakasih  linkaja  pembelian pulsa, pembayaran listrik jadi mudah. Selain memudahkan dalam hal pembayaran dan pembelian juga bnyak promo dan cashback nya lohh, cocok sekali buat ibu dirumah.Transaksi tanpa keluar rumah di masa pandemi yaa linkaja  #lengkapnyauntuksemua;positif
pria_ketiga;@inicuma @linkaja Selama pandemi ini sy jd lbh sering delivery order. Nah ini sangat menginspirasi saya. Meskipun bukan ibu-ibu cocok juga buat saya yang sering delivery makanan Terima kasih  @linkaja  #LengkapnyaUntukSemua; linkaja Selama pandemi ini sy jd lbh sering delivery order. Nah ini sangat menginspirasi saya. Meskipun bukan ibu-ibu, cocok juga buat saya yang sering delivery makanan Terima kasih  @linkaja  #LengkapnyaUntukSemua;positif
vvyuliantiapan;@linkaja Memang link aja cocok sekali selama pandemi daripada  keluar rumah buat beli paketan atau bayar listrik hingga transfer. Sangat menginspirasi buat kita yang #dirumahaja  @linkaja #LengkapnyaUntukSemua; Memang link aja cocok sekali selama pandemi daripada  keluar rumah buat beli paketan atau bayar listrik hingga transfer. Sangat menginspirasi buat kita yang #dirumahaja   #LengkapnyaUntukSemua;positif
citraaa95672708;@linkaja Semenjak masa pandemi saya jarang berbelanja kebutuhan makan sehingga saya sering delivery makanan melalui aplikasi link aja semuanya jadi simpel dan mudah jadi meskipun bukan ibu-ibu cocok juga buat saya yang sering delivery makanan  #Lengkapnya; Semenjak masa pandemi saya jarang berbelanja kebutuhan makan sehingga saya sering delivery makanan melalui aplikasi link aja semuanya jadi simpel dan mudah, jadi meskipun bukan ibu-ibu, cocok juga buat saya yang sering delivery makanan  #LengkapnyaUntukSemua;positif
ve_hann;@linkaja Wahh semua jadi lebih praktis di linkaja. Cocok sekali buat ibu dirumah. Apalagi pandemi begini menginspirasi buat Kita yang #dirumahaja  terima kasih @linkaja #lengkapnyauntuksemua; Wahh, semua jadi lebih praktis di linkaja. Cocok sekali buat ibu dirumah. Apalagi pandemi begini, menginspirasi buat Kita yang #dirumahaja  terima kasih  #lengkapnyauntuksemua;positif
adhellapr;@linkaja Cocok banget untuk keadaan ditengah pandemi seperti ini Menginspirasi buat kita yang #dirumahaja untuk tetap tidak keluar rumah demi kesehatan bersama Terimakasih @linkaja  #lengkapnyauntuksemua;linkaja Cocok banget untuk keadaan ditengah pandemi seperti ini Menginspirasi buat kita yang #dirumahaja untuk tetap tidak keluar rumah demi kesehatan bersama Terimakasih   #lengkapnyauntuksemua;positif
danisriyanto;@linkaja Sangat cocok apalagi saat pandemi ini yang di haruskan kita tetap di rumah dan jauhi keramian di tambah ada banyak promo jadi berguna buat sekarang terima kasih link aja #lengkapnyauntuksemua; Sangat cocok apalagi saat pandemi ini yang di haruskan kita tetap di rumah dan jauhi keramian di tambah ada banyak promo jadi berguna buat sekarang terima kasih link aja #lengkapnyauntuksemua;positif
bongdeta;@linkaja Linkaja sangat menginspirasi buat kita yang #dirumahaja ketika lagi pandemi covid-19 #lengkapnyauntuksemua; Linkaja sangat menginspirasi buat kita yang #dirumahaja ketika lagi pandemi covid-19 #lengkapnyauntuksemua;positif
nila98773173;@linkaja Terimakasih @linkaja  pembelian pulsa pembayaran listrik jadi mudah. Selain memudahkan dalam hal pembayran dan pembelian juga bnyak promo dan cashback nya lohh cocok sekali buat ibu dirumah.Transaksi tanpa keluar rumah di masa pandemi yaa linkaja; Terimakasih   pembelian pulsa, pembayaran listrik jadi mudah. Selain memudahkan dalam hal pembayran dan pembelian juga bnyak promo dan cashback nya lohh, cocok sekali buat ibu dirumah.Transaksi tanpa keluar rumah di masa pandemi yaa linkaja  #lengkapnyauntuksemua;positif
ikmaljabo;@linkaja Terimakasih  @linkaja   telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini LinkAja #lengkapnyauntuksemua; linkaja Terimakasih     telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini, LinkAja #lengkapnyauntuksemua;positif
oktazanaputri;@linkaja Terimakasih @linkaja sudah memudah kan proses transaksi di masa pandemi seperti saat ini #LengkapnyaUntukSemua; Terimakasih  linkaja sudah memudah kan proses transaksi di masa pandemi seperti saat ini #LengkapnyaUntukSemua;positif
alam96122702;@linkaja Terimakasih @linkaja telah mempermudah transaksi non tunai di musim pandemi ini sangat membantu dalam bertransaksi.  #Lengkapuntuksemua; linkaja Terimakasih  telah mempermudah transaksi non tunai, di musim pandemi ini sangat membantu dalam bertransaksi.  #Lengkapuntuksemua;positif
anindyajati31;@linkaja Terima kasih @linkaja semakin mudah untuk transaksi non tunai selama pandemi #LengkapnyaUntukSemua; Terima kasih linkaja  semakin mudah untuk transaksi non tunai selama pandemi #LengkapnyaUntukSemua;positif
iwanzpasker;@linkaja Terimakasih  @linkaja   telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini lebih nyaman transaksi non tunai.  LinkAja #lengkapnyauntuksemua; Terimakasih linkaja    telah membantu mempermudah setiap transaksi non tunai. Di musim pandemi begini, lebih nyaman transaksi non tunai.  LinkAja #lengkapnyauntuksemua;positif
sephiarf;@linkaja Dengan adanya link aja memudahkan kita untuk bertransaksi seperti belanja online karena pandemi ini mengharuskan kita tetap dirumah aja selain itu banyak promo yang didapatkan ketika menggunakan @linkaja  #LengkapnyaUntukSemua; Dengan adanya link aja memudahkan kita untuk bertransaksi, seperti belanja online karena pandemi ini mengharuskan kita tetap dirumah aja, selain itu banyak promo yang didapatkan ketika menggunakan   #LengkapnyaUntukSemua;positif
namaakuulfa;@linkaja wah terimakasih @linkaja. karena sangat mempermudah saya melakukan pembayaran/transaksi online terutama dimasa pandemi ini. Meskipun sedang pandemi yuk Semangat Indonesia! #lengkapnyauntuksemua; wah terimakasih linkaja. karena sangat mempermudah saya melakukan pembayaran/transaksi online terutama dimasa pandemi ini. Meskipun sedang pandemi, yuk Semangat Indonesia! #lengkapnyauntuksemua;positif
royalbemnus;@linkaja Terima kasih @linkaja sungguh sudah memudahkan banyak kegiatan transaksi saya terutama saat pandemi seperti ini. #LengkapnyaUntukSemua; Terima kasih linkaja, sungguh sudah memudahkan banyak kegiatan transaksi saya, terutama saat pandemi seperti ini. #LengkapnyaUntukSemua;positif
utupppp;@linkaja Terima kasih @linkaja   sgt membantu untuk proses pembayaran di masa pandemi sekarang ini dg metode cashlessnya jadi kita bisa tetap menjaga untuk terhindar dari penularan covid melalui uang #LengkapnyaUntukSemua; Terima kasih   , sgt membantu untuk proses pembayaran di masa pandemi sekarang ini dg metode cashlessnya jadi kita bisa tetap menjaga untuk terhindar dari penularan covid melalui uang #LengkapnyaUntukSemua;positif
evadheka;@linkaja Semoga pandemi segera berlalu agar mengurangi aktifitas berbelanja online yang semakin meningkat 😄 semangat Indonesia #lengkapnyauntuksemua; linkaja Semoga pandemi segera berlalu agar mengurangi aktifitas berbelanja online yang semakin meningkat 😄, semangat Indonesia #lengkapnyauntuksemua;negatif
arzldii;@linkaja Sukses selalu untuk LinkAja @linkaja sangat mempermudah saya dalam bertransaksi maupun bayar iuran asuransi di masa pandemi seperti saat ini #lengkapnyauntuksemua; Sukses selalu untuk LinkAja , sangat mempermudah saya dalam bertransaksi maupun bayar iuran asuransi di masa pandemi seperti saat ini #lengkapnyauntuksemua;positif
ardxne;@linkaja Aplikasi yang melancarkan keseharian dalam bertransaksi terutama di pandemi seperti ini #LengkapnyaUntukSemua; Aplikasi linkaja yang melancarkan keseharian dalam bertransaksi terutama di pandemi seperti ini #LengkapnyaUntukSemua;positif
chev_celious;@linkaja @linkaja di masa pandemi semua transaksi bisa dilakukan di rumah terima kasih @linkaja #lengkapnyauntuksemua;linkaja di masa pandemi semua transaksi bisa dilakukan di rumah, terima kasih  #lengkapnyauntuksemua;positif
exolee_1485;@linkaja Terima kasih @linkaja sudah sangat membantu disaat pandemi ini meskipun dirumah aja tapi tetep bisa belanja dengan transaksi yang ngak ribet ditambah banyak cashbacknya makin love deh pokoknya !!! #LengkapnyaUntukSemua;linkaja Terima kasih  sudah sangat membantu disaat pandemi ini, meskipun dirumah aja tapi tetep bisa belanja dengan transaksi yang ngak ribet ditambah banyak cashbacknya makin love deh pokoknya !!! #LengkapnyaUntukSemua;positif
jojoraditya;@linkaja Terima kasih @linkaja bisa bayar di pertamina dengan cashless dan touchless sangat membantu di kondisi pandemi ini 😁 #lengkapnyauntuksemua;linkaja Terima kasih  bisa bayar di pertamina dengan cashless dan touchless, sangat membantu di kondisi pandemi ini 😁 #lengkapnyauntuksemua;positif
arinaizzaaa;@linkaja Semangat Indonesia menghadapi pandemi ini agar segera berakhir dan Terimakasih @linkaja telah memudahkan pembayaran dimasa pandemi ini #lengkapnyauntuksemua; linkaja Semangat Indonesia menghadapi pandemi ini agar segera berakhir dan Terimakasih  telah memudahkan pembayaran dimasa pandemi ini #lengkapnyauntuksemua;positif
dosennyali;@linkaja Emang link aja bantu gue bgt apalagi dimasa pandemi gini harus serba online #lengkapnyauntuksemua; Emang link aja bantu gue bgt apalagi dimasa pandemi gini harus serba online #lengkapnyauntuksemua;positif
gilanganggada1;@linkaja Ya selama pandemi ini @linkaja bener bener ngebantu gua bnget sih entah dari hal pembayaran atau apapun semuanya jadi lebih mudah dan lebih safety juga terimakasih @linkaja #lengkapnyauntuksemua  #PengalamanBaru;linkaja Ya selama pandemi ini  bener bener ngebantu gua bnget sih entah dari hal pembayaran atau apapun semuanya jadi lebih mudah dan lebih safety juga, terimakasih  #lengkapnyauntuksemua  #PengalamanBaru;positif
pendra57974452;@linkaja Selama pandemi ini jadi sering banget belajar masak seru banget deh gak perlu takut kuota abis dan repot repot ke toko untuk beli kuota karena sekarang bisa bayar pake linkaja #pengalamanbaru #lengkapnyauntuksemua @linkaja; Selama pandemi ini jadi sering banget belajar masak, seru banget deh, gak perlu takut kuota abis dan repot repot ke toko untuk beli kuota karena sekarang bisa bayar pake linkaja #pengalamanbaru #lengkapnyauntuksemua ;positif
ridwanfadhil13;@linkaja Selama masa pandemi ini saya menghabiskan banyak waktu buat baca buku novel dan persiapan untuk masuk PTN. Jadinya saya setiap seminggu sekali selalu beli buku baru secara online #PengalamanBaru #lengkapnyauntuksemua @linkaja;Selama masa pandemi ini saya menghabiskan banyak waktu buat baca buku novel dan persiapan untuk masuk PTN. Jadinya saya setiap seminggu sekali selalu beli buku baru secara online pake linkaja #PengalamanBaru #lengkapnyauntuksemua ;positif
imamabdulreza;@linkaja Menjaga kesehatan dgn makan makanan sehat jd salah satu hal penting di era pandemi ini. Dan juga dibarengi dengan olahraga bersepeda menjadi salah satu aktifitas favorit saya. Dan @linkaja adalah solusi pembayaran virtual ketika bertransaksi #len; Menjaga kesehatan dgn makan makanan sehat jd salah satu hal penting di era pandemi ini. Dan juga dibarengi dengan olahraga bersepeda menjadi salah satu aktifitas favorit saya. Dan linkaja adalah solusi pembayaran virtual ketika bertransaksi #lengkapnyauntuksemua #PengalamanBaru;positif
tyofebriana_;@linkaja Belakangan ini saya seneng berolahraga tentunya bersepada dimana pada masa pandemi harus meningkatkan sistem imun tubuh seperti @linkaja yang terus meningkatkan fiturnya dimana saya selalu dengan mudah melakukan pembayaran online #LengkapnyaUntuk; Belakangan ini saya seneng berolahraga tentunya bersepada dimana pada masa pandemi harus meningkatkan sistem imun tubuh seperti linkaja yang terus meningkatkan fiturnya dimana saya selalu dengan mudah melakukan pembayaran online #LengkapnyaUntukSemua #PengalamanBaru;positif
hanna2556133184;@linkaja Selama pandemi jadi suka belajar masak dirumah.  Terimakasih link aja sudah memberikan postingan yang bermanfaat! Bayar apapun jadi mudah dan praktiss!! #LengkapnyaUntukSemua #PengalamanBaru @linkaja; Selama pandemi jadi suka belajar masak dirumah.  Terimakasih link aja sudah memberikan postingan yang bermanfaat! Bayar apapun jadi mudah dan praktiss!! #LengkapnyaUntukSemua #PengalamanBaru ;positif
fenkq_yohanes;@linkaja Akhir² ini suka banget baca buku apalagi novel bener² bikin mood naik seketika. Dimasa pandemi ini untuk bayar cash takut tapi @linkaja adalah jalan ninjaku utk byr dan beli² sesuatu tanpa berinteraksi secara langsung. #LengkapnyaUntukSemua #P; Akhir² ini suka banget baca buku apalagi novel, bener² bikin mood naik seketika. Dimasa pandemi ini untuk bayar cash takut, tapi linkaja adalah jalan ninjaku utk byr dan beli² sesuatu tanpa berinteraksi secara langsung. #LengkapnyaUntukSemua #PengalamanBaru;positif
iem0ntea;@linkaja selama pandemi #dirumahaja jadi lebih sering belajar masak untuk setiap transaksi nya pake @linkaja #PengalamanBaru #lengkapnyauntuksemua; selama pandemi #dirumahaja jadi lebih sering belajar masak, untuk setiap transaksi nya pake linkaja #PengalamanBaru #lengkapnyauntuksemua;positif
kangjagalsapi;@linkaja Selama pandemi aku jadi mudah untuk segala transaksi mulai dari membeli makan makanan sehat dan membayar sepeda untuk olahraga pagi pun bisa dilakukan di @linkaja   #LengkapnyaUntukSemua #PengalamanBaru;linkaja Selama pandemi, aku jadi mudah untuk segala transaksi mulai dari membeli makan makanan sehat dan membayar sepeda untuk olahraga pagi pun bisa dilakukan di    #LengkapnyaUntukSemua #PengalamanBaru;positif
s_weidiant;@linkaja Sejak pandemi ini ga banyak aktivitas yang bisa dilakuin dirumah   untuk @linkaja jadi bisa melakukan pembayaran dengan mudah .. #lengkapnyauntuksemua  #pengalamanbaru; Sejak pandemi ini ga banyak aktivitas yang bisa dilakuin dirumah , , untuk linkaja jadi bisa melakukan pembayaran dengan mudah .. #lengkapnyauntuksemua  #pengalamanbaru;positif
yhossy_rizky;@linkaja Terima kasih @linkaja   sudah hadir dimasa pandemi seperti ini memberikan kemudahan cukup dengan sentuhan jari #lengkapnyauntuksemua; Terima kasih linkaja  sudah hadir dimasa pandemi seperti ini, memberikan kemudahan cukup dengan sentuhan jari #lengkapnyauntuksemua;positif
aznalmad;@linkaja Sejak pandemi melanda indonesia kita semua diharuskan #dirumahaja. Dengan dirumah kita bukan berhenti beraktifitas akan tetapi tetap melakukan hal positif. Nah kalo untuk segala sesuatu yang berhubungan dengan pembayaran ya tetap @linkaja  #lengk; Sejak pandemi melanda indonesia, kita semua diharuskan #dirumahaja. Dengan dirumah kita bukan berhenti beraktifitas, akan tetapi tetap melakukan hal positif. Nah kalo untuk segala sesuatu yang berhubungan dengan pembayaran ya tetap linkaja  #lengkapnyauntuksemua #pengalamanbaru;positif
putrimarthin;@linkaja Masa pandemi di rumah membuat kita mempelajari hal hal kecil dari belajar memasakmembacaberolahraga di rumah menghabiskan waktu luang dengan keluarga itu yang sangat penting. Untuk aktivitas pembayaran online lewat app @linkaja  #lengkapnyauntuks; Masa pandemi di rumah membuat kita mempelajari hal hal kecil dari belajar memasak,membaca,berolahraga di rumah, menghabiskan waktu luang dengan keluarga itu yang sangat penting. Untuk aktivitas pembayaran online lewat app  linkaja #lengkapnyauntuksemua;positif
d4nielakt;@linkaja Selama pandemi ini alias #dirumahaja aku jadi lebih sering masak sendiri olahraga  dan galupa juga buat transaksi pake @linkaja #lengkapnyauntuksemua #PengalamanBaru; Selama pandemi ini alias #dirumahaja aku jadi lebih sering masak sendiri, olahraga  dan galupa juga buat transaksi pake linkaja #lengkapnyauntuksemua #PengalamanBaru;positif
iamvia12;@linkaja Pas banget nih slama pandemi ini jadi lebih bahagia bisa brkumpul brsama keluarga membantu OrTu masak and selalu Brolahraga juga utk menjaga kesehatan tubuh and thank you untuk Apk @linkaja sangat membantu sya untuk mngisi saldo OVO  #PengalamanB; Pas banget nih, slama pandemi ini jadi lebih bahagia bisa brkumpul brsama keluarga, membantu OrTu masak, and selalu Brolahraga juga utk menjaga kesehatan tubuh, and thank you untuk Apk linkaja sangat membantu sya untuk mngisi saldo OVO  #PengalamanBaru  #lengkapnyauntuksemua;positif
jandabertarif;@linkaja Selama pandemi berlangsungaku mencoba untuk belajar masak dirumah dengan dilengkapi alat alat masak yang dibeli secara online dan pembayaran yang dibantu oleh @linkaja aku sangat berterima kasih #PengalamanBaru  #lengkapnyauntuksemua  #linkaja; Selama pandemi berlangsung,aku mencoba untuk belajar masak dirumah dengan dilengkapi alat alat masak yang dibeli secara online dan pembayaran yang dibantu oleh linkaja aku sangat berterima kasih #PengalamanBaru  #lengkapnyauntuksemua  #linkaja;positif
nathacha_racha;@linkaja Akuu dulu paling males olahraga. Selain sibuk kerja PP depok-sudirman kalo mau olahraga udh cape duluan. Tapi karena pandemi gini wfh berasa gabut jadi yoga di rumah! Beli alat2 kayak matras dll di olshop bayarnya pake @linkaja praktis✨ #lengka; Akuu dulu paling males olahraga. Selain sibuk kerja PP depok-sudirman, kalo mau olahraga udh cape duluan. Tapi karena pandemi gini wfh berasa gabut jadi yoga di rumah! Beli alat2 kayak matras dll di olshop bayarnya pake linkaja praktis� #lengkapnyauntuksemua #PengalamanBaru;positif
alfinmania16;@linkaja Dimasa pandemi ini. Kita diharuskan makan makanan sehat mulai dari sayuran buah buahan dan lain lain. Pembayarannya pun sekarang bisa pake @linkaja #PengalamanBaru #lengkapnyauntuksemua; Dimasa pandemi ini. Kita diharuskan makan makanan sehat, mulai dari sayuran, buah buahan dan lain lain. Pembayarannya pun sekarang bisa pake linkaja #PengalamanBaru #lengkapnyauntuksemua;positif
hendrafebry;@linkaja Selama pandemi @linkaja  aja sangat membatu untuk untuk pembayaran on line bagi yg mulai dagang online. Membntu saya berjualan makanan online.  #pengalamanbaru  #lengkapnyauntuksemua  #linkaja; Selama pandemi link aja sangat membantu untuk untuk pembayaran online bagi yg mulai dagang online. Membantu saya berjualan makanan online.  #pengalamanbaru  #lengkapnyauntuksemua  #linkaja;positif
adiisukmo;@linkaja Di masa pandemi gini banyak pengalaman baru yaitu membaca buku dan belajar memasak berbagai masakan indonesia. Kegiatan ini bisa aku lakuin dengan bantuan aplikasi @linkaja karena belanja mudah. #lengkapnyauntuksemua #PengalamanBaru; Di masa pandemi gini banyak pengalaman baru yaitu membaca buku dan belajar memasak berbagai masakan indonesia. Kegiatan ini bisa aku lakuin dengan bantuan aplikasi linkaja karena belanja mudah. #lengkapnyauntuksemua #PengalamanBaru;positif
